,Ã…rstal,Unnamed: 0,counts
0,386.0,358161660,1734
1,387.0,1978959827,55252
2,388.0,680411164,26344
3,389.0,536284332,14371
4,390.0,35557284,159
5,391.0,2977041195,23657
6,392.0,647620331,7239
7,393.0,217003572,7176
8,394.0,128690027,12509
9,395.0,5280189926,87084
10,396.0,1935473291,35123
11,397.0,7647308313,51733
12,398.0,802740151,13875
13,399.0,2264440895,46036
14,400.0,5420054777,101959
15,401.0,4150176320,117551
16,402.0,1057594849,5321
17,403.0,2109719043,42298
18,404.0,2479746880,17410
19,405.0,3560085006,33715
20,406.0,359000382,35787
21,407.0,50690024,235
22,408.0,2094944580,16153
23,409.0,2881625712,20768
24,410.0,6453651677,35443
25,411.0,12761220466,122249
26,412.0,13745411186,97369
27,413.0,5259074605,46705
28,414.0,1855373256,16900
29,415.0,5496191952,106560
30,416.0,5202117272,30989
31,417.0,8447077510,70653
32,418.0,6605650793,52292
33,419.0,1910333880,18446
34,420.0,5376366844,159813
35,421.0,2093723122,189476
36,422.0,4466371225,579879
37,423.0,229453081,1368
38,424.0,440087886,6937
39,425.0,1615890373,8204
40,426.0,1243654379,4981
41,427.0,3487433835,267201
42,428.0,2283167456,35221
43,429.0,1192953197,21753
44,430.0,4203505198,143528
